latitud;longitud;direccion;B93;B95;B97;DIESEL;keresone;marca;
-33.57126768094779;-70.55546671786044;Camilo Henríquez 3674, Puente Alto;771.0;819.0;877.0;567.0;699.0;SHELL;
-33.518069890420584;-70.72116136550903;Av Camilo Henriquez 3160, Puente Alto;771.0;819.0;877.0;567.0;640.0;SHELL;
-33.57440796465255;-70.65699756145477;Avenida Américo Vespucio 1501, Cerrillos;778.0;791.0;818.0;568.0;610.0;COPEC;
-33.533590552264315;-70.69927650345767;Tte. Montt Salamanca / Lo Martínez 12112, La Pintana;778.0;801.0;851.0;568.0;626.0;COPEC;
-33.519771373401575;-70.72355895575026;Lo Sierra 03079, Lo Espejo;752.0;766.0;780.0;568.0;673.0;COPEC;
-33.5000958;-70.6934918;Camino a Lonquen 9521, Maipú;778.0;791.0;818.0;568.0;676.0;SHELL;
-33.44576160271722;-70.7023537158966;Cerrillos 6199, Pedro Aguirre Cerda;779.0;806.0;828.0;568.0;650.0;SHELL;
-33.615890456914954;-70.68308273223266;Avenida Troncal San Francisco 3050, Puente Alto;771.0;784.0;797.0;568.0;658.0;ECCO;
-33.4736925247978;-70.75827240943909;Avenida Diego Portales 786, La Florida;762.0;776.0;879.0;569.0;699.0;PETROBRAS;
-33.4913522516855;-70.77682256698608;Avenida Americo Vespucio 1677, Maipú;767.0;777.0;787.0;569.0;658.0;SHELL;
-33.542628703605445;-70.63611388206482;Panamericana Norte 2050, Renca;767.0;777.0;789.0;569.0;641.0;SHELL;
-33.4999503894931;-70.73481380939484;Camilo Henriquez 3160, Puente Alto;771.0;808.0;841.0;569.0;640.0;Sin Bandera;
-33.483423;-70.75361320000002;El Rosal  6443, Maipú;771.0;786.0;791.0;570.0;660.0;Sin Bandera;
-33.4712403703207;-70.75976371765137;Portales 1800, San Bernardo;775.0;783.0;799.0;570.0;719.0;SHELL;
-33.54715334646909;-70.63364624977112;Americo Vespucio 1077, Maipú;769.0;779.0;789.0;571.0;660.0;BULL ENERGY;
-33.58039411203767;-70.56854527406614;Avenida México 3193, Puente Alto;775.0;786.0;879.0;571.0;681.0;BULL ENERGY;
-33.42498099804322;-70.70264339447021;Camino Padre Hurtado   19290, San Bernardo;776.0;785.0;808.0;571.0;652.0;COPEC;
-33.43074742077572;-70.66555917263031;Salvador Gutiérrez 4980, Quinta Normal;772.0;796.0;820.0;572.0;661.0;PETROBRAS;
-33.43279781106325;-70.68811655044556;Avenida Presidente Eduardo Frei Montalva 633, Independencia;769.0;782.0;795.0;573.0;640.0;COPEC;
-33.431101094173265;-70.69295525550842;Mapocho 3880, Quinta Normal;771.0;784.0;797.0;573.0;578.0;SHELL;
-33.53315572669205;-70.70232689380646;Mapocho 4271, Quinta Normal;752.0;766.0;790.0;573.0;632.0;COPEC;
-33.63958832893722;-70.67892462015152;Lo Sierra 03000, San Bernardo;754.0;768.0;782.0;574.0;673.0;COPEC;
-34.0277778;-71.1163889;NOS A LOS MORROS 1275, San Bernardo;769.0;783.0;806.0;574.0;656.0;Combustible Alhue;
-33.43287391632059;-70.67705243825912;Mapocho 1998, Santiago;782.0;790.0;805.0;575.0;638.0;SHELL;
-33.44608612029986;-70.6735011935234;MAPOCHO 2948, Santiago;771.0;784.0;797.0;575.0;679.0;SHELL;
-33.47067206914179;-70.71866154670715;Independencia 3060, Conchalí;768.0;781.0;795.0;575.0;640.0;COPEC;
-33.45836989641369;-70.68969905376434;5 de Abril 6198, Estación Central;773.0;786.0;799.0;575.0;646.0;COPEC;
-33.46259462982881;-70.6993818283081;General Velásquez 301, Estación Central;771.0;784.0;797.0;575.0;656.0;COPEC;
-33.455744998078266;-70.69749891757965;5 de Abril 4790, Estación Central;773.0;786.0;799.0;575.0;652.0;SHELL;
-33.40761673852043;-70.67979097366333;Matucana 30, Estación Central;773.0;786.0;799.0;575.0;624.0;COPEC;
-33.40324154387031;-70.68122863769531;Avenida Presidente Eduardo Frei Montalva 1767, Independencia;787.0;809.0;855.0;575.0;641.0;PETROBRAS;
-33.41335744779236;-70.67884147167206;Av Frei Montalva 2797, Independencia;787.0;809.0;855.0;575.0;641.0;SHELL;
-33.444405329887175;-70.74008703231812;San Pablo 6256, Lo Prado;779.0;800.0;849.0;575.0;634.0;SHELL;
-33.43257844847753;-70.69205939769745;San Pablo 8247, Lo Prado;773.0;788.0;808.0;575.0;671.0;COPEC;
-33.43321862753275;-70.6813895702362;Vargas Fontecilla 4182, Quinta Normal;752.0;766.0;780.0;575.0;600.0;PETROBRAS;
-33.438223500994134;-70.68034887313843;Mapocho 3380, Quinta Normal;771.0;784.0;797.0;575.0;638.0;SHELL;
-33.53984315842268;-70.64981460571289;San Pablo / PATRICIO LINCH 3375, Quinta Normal;768.0;781.0;797.0;575.0;625.0;COPEC;
-33.49796645168884;-70.7169958949089;Américo Vespucio 1316, San Ramón;780.0;811.0;858.0;575.0;666.0;COPEC;
-33.42677633065928;-70.65133273601532;Avenida Lo Errázuriz 713, Cerrillos;770.0;787.0;837.0;576.0;632.0;Sin Bandera;
-33.43824588350077;-70.69437146186829;Santa Rosa / San Martín 9468, La Granja;764.0;793.0;860.0;576.0;647.0;COPEC;
-33.5698486;-70.8159746;San Pablo 4383, Quinta Normal;767.0;780.0;793.0;576.0;638.0;SESA;
-33.57096193970108;-70.8184826374054;CAMINO MELIPILLA 290, Padre Hurtado;779.0;792.0;805.0;576.0;617.0;Del Sol Combustibles;
-33.44241788189269;-70.66533923149109;Camino San Alberto Hurtado 2895, Padre Hurtado;779.0;790.0;805.0;576.0;621.0;SHELL;
-33.554816084570845;-70.63132882118225;BRASIL 154, Santiago;771.0;784.0;807.0;577.0;671.0;PETROBRAS;
-33.56049116518439;-70.63108860688476;Santa Rosa  10302, La Granja;782.0;814.0;860.0;577.0;688.0;PETROBRAS;
-33.433724499949456;-70.62296569347382;Santa Rosa 10801, La Pintana;782.0;814.0;860.0;577.0;688.0;PETROBRAS;
-33.39511549706048;-70.64300084288328;San Pablo 8815, Pudahuel;773.0;798.0;825.0;577.0;652.0;SESA;
-33.584396637011594;-70.83351373672485;Ambrosio OHiggins 2111, Curacaví;772.0;786.0;812.0;577.0;750.0;COPEC;
-33.554521032557766;-70.7955014705658;Ruta 78 KM.25,5 0, Padre Hurtado;788.0;798.0;809.0;577.0;634.0;PETROBRAS;
-33.50684796592921;-70.63684344291687;Avenida Parque Central Poniente 21, Maipú;782.0;796.0;811.0;578.0;642.0;SHELL;
-33.513315621827246;-70.63763201236725;Avenida Departamental 451, San Joaquín;779.0;810.0;855.0;578.0;650.0;PETROBRAS;
-33.54036629333751;-70.6345796585083;Santa Rosa 5909, San Miguel;779.0;810.0;843.0;578.0;670.0;PETROBRAS;
-33.52312353008417;-70.6601893901825;Avenida Santa Rosa 8751, San Ramón;779.0;810.0;843.0;578.0;670.0;PETROBRAS;
-33.52765813767733;-70.63540577888489;Gran Avenida 7390, La Cisterna;778.0;809.0;840.0;579.0;650.0;SHELL;
-33.42379901315921;-70.57970702648163;Santa Rosa 7606, La Granja;779.0;810.0;851.0;579.0;696.0;SHELL;
-33.496143514978726;-70.65310299396515;Santa Rosa 4180, San Joaquín;775.0;800.0;848.0;579.0;654.0;PETROBRAS;
-33.52121838732754;-70.63669323921204;Gran Avenida 4613, San Miguel;778.0;810.0;842.0;579.0;678.0;COPEC;
-33.435219716225106;-70.6730505824089;Santa Rosa 6565, San Ramón;779.0;810.0;843.0;579.0;652.0;COPEC;
-33.43490634967846;-70.66442996263504;SAN PABLO 2602, Santiago;771.0;784.0;797.0;580.0;647.0;COPEC;
-33.53651201140628;-70.66459894180298;SAN PABLO 1990, Santiago;771.0;784.0;797.0;580.0;641.0;COPEC;
-33.53335289232226;-70.66362261772156;Gran Avenida/Americo Vespucio 8765, La Cisterna;780.0;811.0;842.0;580.0;652.0;PETROBRAS;
-33.53388277385682;-70.65975219011307;Gran Avenida 8501, La Cisterna;780.0;810.0;842.0;580.0;640.0;SHELL;
-33.5020442;-70.600661;Las Brisas 310, La Cisterna;780.0;810.0;845.0;580.0;650.0;SESA;
-33.5387201;-70.7734337;Froilan Roa 5275, Macul;771.0;798.0;825.0;580.0;617.0;SHELL;
-33.45561296784475;-70.61913013458252;Camino Melipilla 16850, Maipú;784.0;798.0;853.0;580.0;698.0;VIVA COMBUSTIBLES;
-33.438577143923915;-70.69607198238373;AVDA. REPUBLICA DE ISRAEL 1203, Ñuñoa;770.0;788.0;865.0;580.0;653.0;COPEC;
-33.32393042134677;-70.74729681015015;san pablo 4469, Quinta Normal;771.0;784.0;797.0;580.0;636.0;COPEC;
-33.41786645959481;-70.64360797405243;Avenida El Salto 2098, Recoleta;772.0;791.0;813.0;580.0;656.0;COPEC;
-33.41957462883529;-70.64389497041702;Recoleta 1207, Recoleta;764.0;786.0;808.0;580.0;636.0;VIVA COMBUSTIBLES;
-33.47689633009834;-70.64167141914368;RECOLETA 1097, Recoleta;764.0;786.0;808.0;580.0;636.0;PETROBRAS;
-33.506637736637025;-70.639209151268;Santa Rosa 2700, San Joaquín;779.0;811.0;845.0;580.0;660.0;COPEC;
-33.490211435633626;-70.64086675643921;Santa Rosa 5499, San Miguel;781.0;812.0;845.0;580.0;651.0;SHELL;
-33.7478003;-70.87278179999998;Gran Avenida 5998, San Miguel;781.0;812.0;845.0;580.0;677.0;Sin Bandera;
-33.56676677144079;-70.81276054550779;Balmaceda 4981, Isla de Maipo;784.0;817.0;849.0;580.0;669.0;COPEC;
-33.56641339516575;-70.81114517246095;Camino a Melipilla 1891, Padre Hurtado;784.0;798.0;813.0;580.0;644.0;COPEC;
-33.54866448864174;-70.67027449607849;Camino a Melipilla 1846, Padre Hurtado;784.0;798.0;813.0;580.0;644.0;Sin Bandera;
-33.760041327376236;-70.80905199050903;Arzobispo Valdivieso 384, Recoleta;774.0;802.0;816.0;581.0;663.0;Sin Bandera;
-33.851358882279904;-70.83256423473358;Camino Lonquen 8805, Buin;808.0;830.0;852.0;581.0;591.0;Sin Bandera;
-33.408064545398766;-71.17774844169617;Camino Aculeo 7391, Paine;808.0;830.0;852.0;581.0;591.0;COPEC;
-33.573312939209366;-70.68969368934631;COMPAÑIA 1908, Santiago;789.0;797.0;812.0;582.0;651.0;COPEC;
-33.55262105227472;-70.67349851131439;Gran Avenida  13040, El Bosque;778.0;808.0;836.0;582.0;637.0;PETROBRAS;
-33.54609374285239;-70.66906750202179;Gran Avenida   10078, El Bosque;778.0;808.0;836.0;582.0;637.0;PETROBRAS;
-33.45266349428952;-70.68759351968765;Gran Avenida 9549, El Bosque;778.0;808.0;836.0;582.0;637.0;SHELL;
