latitud;longitud;direccion;B93;B95;B97;DIESEL;keresone;marca;
-36.13414018244484;-71.80796027183533;Las Toscas, Km.10 0, Yerbas Buenas;816.0;856.0;890.0;588.0;669.0;COPEC;
-34.867291;-71.16903;AV. COMALLE, ESQ. ARTURO PRAT 196, Teno;790.0;814.0;840.0;599.0;667.0;FACAZ;
-34.976366344040755;-71.8025529384613;AV. PRAT                         425, Hualañé;807.0;846.0;898.0;600.0;658.0;SHELL;
-34.98324507961289;-71.99080109596252;Arturo Prat 197, Hualañé;822.0;860.0;898.0;600.0;658.0;COPEC;
-35.38096774048229;-71.56494140625;F. FREIRE 681, Curicó;822.0;860.0;898.0;601.0;657.0;COPEC;
-35.282179;-71.259902;OPAZO Nº 36,  CUMPEO 36, Río Claro;808.0;842.0;896.0;604.0;657.0;FACAZ;
-34.99175369350489;-71.2289571762085;MANSO DE VELASCO 215, Curicó;829.0;855.0;885.0;607.0;661.0;COPEC;
-34.98333;-71.23333;LONGITUDINAL SUR KM 190, A.NEGRAS 0, Curicó;825.0;855.0;885.0;607.0;661.0;COPEC;
-34.97641469499728;-71.24488949775696;CARMEN, C. HENRIQUEZ               890, Curicó;825.0;855.0;885.0;607.0;656.0;COPEC;
-34.94950517452052;-71.18392288684845;AV. FREIRE 681, Curicó;819.0;849.0;879.0;607.0;657.0;COPEC;
-35.0187328063691;-71.24771118164062;Manso de Velascoesq. Argomedo 423, Curicó;812.0;845.0;882.0;607.0;658.0;SHELL;
-34.9856755745284;-71.23452007770538;Camilo Henriquez 7, Curicó;817.0;847.0;887.0;607.0;656.0;FACAZ;
-34.975848;-71.2199;Avenida  Balmaceda 0111, Curicó;825.0;855.0;885.0;607.0;737.0;SHELL;
-35.00362735690096;-71.23957872390747;Av. Alessandri 1210, Curicó;825.0;855.0;885.0;607.0;680.0;SHELL;
-34.8764959608218;-71.14471435546875;Ramón Freire 200, Romeral;812.0;845.0;885.0;607.0;647.0;SHELL;
-35.963627;-71.683125;DIEGO PORTALES 05, Rauco;812.0;845.0;882.0;621.0;707.0;PETROBRAS;
-35.962544296494755;-71.68070467130127;Uno Sur  391, Longaví;821.0;865.0;908.0;634.0;715.0;Sin Bandera;
